src,tgt,path_length,type
BOP1,NUP214,-1,reversed-1
RPL35,EIF4G1,1,direct
HSPD1,GTF2F2,-1,reversed-1
SURF6,CLASRP,0,no_path
LSM5,WDR26,1,direct
WDR18,C7orf26,-2,reversed-2
HSPD1,PAF1,1,direct
HMGCS1,CTU2,-2,reversed-2
URM1,SARS2,2,hop-2
ZNF317,UNC45A,0,no_path
RNF8,RPAIN,1,direct
SUPT5H,HDAC3,1,direct
LSM5,TMX2,1,direct
MRPL21,DDX19A,1,direct
ZNRD1,ABT1,1,direct
ATP6V0C,SLC1A5,1,direct
CCT6A,GPS1,1,direct
NUP214,HTATSF1,1,direct
FIP1L1,CHMP5,-2,reversed-2
POLR2B,NOL11,1,direct
RSL1D1,MED4,1,direct
RNPS1,MCM7,1,direct
SRSF6,PSMA1,-2,reversed-2
MRPL21,INCENP,2,hop-2
CPSF4,USP5,0,no_path
SLU7,METAP1,2,hop-2
TBCC,DPM2,-2,reversed-2
TMX2,DDX24,1,direct
RPL10A,DPM2,-1,reversed-1
CCT6A,CD2BP2,1,direct
CENPH,XRCC2,1,direct
POLR2B,MTOR,1,direct
PSMC3,NELFE,1,direct
IFITM2,METAP2,-1,reversed-1
TRMT6,IARS2,-2,reversed-2
RPE,SURF6,2,hop-2
ATP6V0C,GMPPB,1,direct
SLC1A5,RPAIN,-1,reversed-1
RPUSD3,CCNL1,2,hop-2
PALB2,PSME1,0,no_path
WDR26,NOL12,-2,reversed-2
PDCD6IP,NOL12,1,direct
RNASEH2C,WBP1L,0,no_path
SLU7,SUPT5H,1,direct
NOL11,SARS2,1,direct
WDR18,NELFE,1,direct
RNPS1,WDR4,1,direct
MRPL4,ROMO1,-1,reversed-1
CPSF4,NDUFA2,-1,reversed-1
SKA3,HDAC3,1,direct
MEPCE,ZMAT5,0,no_path
RBBP5,EIF3B,-1,reversed-1
RPL39,SKA3,1,direct
PPP1R7,GAK,3,hop-3
MRPL21,RPL7A,-1,reversed-1
CASP8AP2,NFS1,0,no_path
RPL35A,TRAIP,1,direct
NELFA,CASP8AP2,2,hop-2
POLR2B,MED17,1,direct
LSM5,DDX24,1,direct
RPL10A,XAB2,1,direct
WDR26,NFRKB,-4,reversed-4
MYCBP,MCM7,1,direct
MRPL21,HNRNPR,-1,reversed-1
BRCA1,GAK,2,hop-2
MRPL38,CHMP5,-1,reversed-1
RBX1,NELFE,1,direct
ABT1,MARS,2,hop-2
SNAPC5,CLASRP,1,direct
CD2BP2,NUP214,-1,reversed-1
NUTF2,MEPCE,1,direct
RPS3,KDM2A,1,direct
XRCC5,POLR3E,1,direct
TRMT6,MRPS22,-1,reversed-1
RBBP5,EXOSC1,-2,reversed-2
COG2,RRP12,2,hop-2
DPM2,XAB2,1,direct
PALB2,RNF8,-1,reversed-1
XAB2,RRP12,0,no_path
ATP6V0C,TRA2B,-1,reversed-1
RAD9A,CHMP5,-2,reversed-2
CYC1,DDX41,1,direct
PSME1,TAF2,0,no_path
CPSF4,TMX2,-1,reversed-1
PPP1CB,DDX19A,-1,reversed-1
DDX41,CLASRP,1,direct
CASP8AP2,MED1,-2,reversed-2
SLU7,TMA16,-2,reversed-2
PTMA,TAF2,1,direct
PSMC3,TRIAP1,1,direct
COG2,CHMP1A,0,no_path
PSMB2,MED17,1,direct
TRIAP1,WDR4,1,direct
PPP1CB,INCENP,-2,reversed-2
RPL18A,RPAP1,1,direct
CENPH,SARS2,1,direct
SCFD1,ORC6,-1,reversed-1
NUP214,SNAPC5,1,direct
CPSF6,MRPS28,-2,reversed-2
PSMB1,MRTO4,1,direct
COG4,C7orf26,-2,reversed-2
LSM5,MRPL4,1,direct
WBP1L,RPAIN,0,no_path
CDC20,TMA16,-1,reversed-1
SLU7,RPL39,-1,reversed-1
LSM5,ROMO1,1,direct
KIF4A,SNRPG,1,direct
METAP2,CLASRP,1,direct
PSMG1,RPUSD3,1,direct
SEC61G,ZC3H8,1,direct
MED1,KDM2A,1,direct
NUP214,CLASRP,2,hop-2
SEC61G,CHMP5,-1,reversed-1
DDX24,WDR26,3,hop-3
CEP85,RPL35A,-2,reversed-2
ELAC2,SKA3,2,hop-2
WDR18,ZMAT5,2,hop-2
BRCA1,MOCS3,2,hop-2
MRPS11,PDCD6IP,1,direct
CCDC174,ABT1,-1,reversed-1
ATP6V0C,MRPL9,1,direct
FIP1L1,MMS22L,2,hop-2
HSPD1,PPP1R7,1,direct
MOCS3,ZNF317,0,no_path
WDR4,NELFE,1,direct
MRPL4,MRPL24,1,direct
ARF4,HMGCS1,1,direct
LSM10,POLR2E,1,direct
INCENP,MARS,1,direct
SRP14,CCNL1,1,direct
LSM10,DDX19A,1,direct
MRTO4,ZC3H8,1,direct
PTMA,SLC1A5,1,direct
CENPH,NOL11,1,direct
SLU7,ELAC2,-2,reversed-2
MRTO4,CHMP5,-1,reversed-1
RBBP5,CBX1,1,direct
SEC61G,FIP1L1,1,direct
NFRKB,USP5,2,hop-2
SRSF6,TRMT6,0,no_path
CIAO1,TRAIP,0,no_path
POLR3E,CCP110,0,no_path
YBX1,POLR1C,1,direct
TMX2,PDCD6IP,1,direct
DPH3,CCP110,0,no_path
CPSF6,SDHA,-2,reversed-2
PSMB2,CENPH,1,direct
LSM10,INCENP,1,direct
CHMP1A,UNC45A,1,direct
SENP6,ZMAT5,0,no_path
HNRNPR,PSMA5,1,direct
NELFA,MED4,-2,reversed-2
RPL10A,DYNC1H1,1,direct
DYNC1H1,UNC45A,1,direct
RPL35,RPL35A,1,direct
PSME1,GMPPB,0,no_path
EIF4G1,RPL35A,-1,reversed-1
GMPPB,RPAIN,-2,reversed-2
NOL12,CTU2,1,direct
CEP85,POLR1C,0,no_path
EIF2S3,RPUSD3,1,direct
RPUSD3,RNF8,-2,reversed-2
RNASEH2C,RPAIN,-1,reversed-1
RNPS1,SENP6,1,direct
TRIAP1,MEPCE,1,direct
TMX2,HMGCS1,2,hop-2
SEC61G,XRCC2,1,direct
URM1,ZNF830,2,hop-2
ZNF830,MMS22L,0,no_path
SMC6,NFS1,1,direct
MCM10,SKA3,1,direct
ORC6,RBBP5,1,direct
ORC6,ILF3,-1,reversed-1
ILF3,RBBP5,1,direct
MCM7,SBDS,-1,reversed-1
LSM5,PDCD6IP,1,direct
CPSF4,MRPL4,-1,reversed-1
MRGBP,SDHA,1,direct
MRPL21,CPSF6,1,direct
NDUFA2,ARF4,1,direct
PDCD6IP,CTU2,2,hop-2
CEP85,CIAO1,0,no_path
RBX1,RNPS1,-1,reversed-1
PSME1,TRA2B,-1,reversed-1
RAD9A,MMS22L,0,no_path
DHODH,SURF6,-1,reversed-1
RPL10A,ZNF317,1,direct
HSPE1,POLA2,1,direct
RPL18A,KIF4A,1,direct
YBX1,RPAP1,1,direct
MRPS31,NDUFA2,1,direct
PPP1CB,MRPS28,-2,reversed-2
ATP6V0C,WBP1L,1,direct
PTMA,TRA2B,-1,reversed-1
USP8,RBBP5,-1,reversed-1
RPAP1,POLR1C,-2,reversed-2
SRP14,PTMA,1,direct
COG4,TRIAP1,-2,reversed-2
MRPL24,NOL12,0,no_path
PSMA5,DDX19A,1,direct
C7orf26,NELFE,1,direct
MRPS28,NUP54,1,direct
PSME1,PSMG1,-1,reversed-1
MED21,FIP1L1,-1,reversed-1
MRPS22,STAT5A,1,direct
TRMT6,RSL1D1,-1,reversed-1
USP8,CDC20,-1,reversed-1
BOP1,RPE,-2,reversed-2
RPL18A,YBX1,-1,reversed-1
RPUSD4,C7orf26,-2,reversed-2
RPE,HTATSF1,1,direct
VPS13D,TRAIP,0,no_path
SRP14,PSME1,1,direct
PALB2,SRP14,-2,reversed-2
SUPT5H,ILF3,-1,reversed-1
GUK1,LSM10,-1,reversed-1
METAP2,GPS1,1,direct
PTMA,PSMG1,-1,reversed-1
ZC3H8,MMS22L,0,no_path
RAD9A,MED21,0,no_path
SURF6,DDX41,-2,reversed-2
RPL7A,MRGBP,-1,reversed-1
CEP85,RPAP1,0,no_path
ASF1B,MRGBP,-1,reversed-1
MRPL24,NFRKB,0,no_path
RSL1D1,NFS1,1,direct
MRPS31,WDR26,1,direct
SMC6,KIN,1,direct
CD2BP2,SURF6,0,no_path
EIF4G1,CIAO1,1,direct
KIF4A,DPH3,1,direct
RPL7A,LSM10,1,direct
SARS2,MTOR,0,no_path
PAF1,DPM2,-1,reversed-1
SART1,TBCC,0,no_path
NUTF2,RBX1,-1,reversed-1
MRPS31,TMX2,1,direct
ASF1B,LSM10,-2,reversed-2
RPP38,BRCA1,0,no_path
PSMC3,SRFBP1,1,direct
RPL7A,GUK1,1,direct
KIF4A,USP7,1,direct
DHODH,METAP2,-2,reversed-2
MEPCE,MCM7,-1,reversed-1
DPM2,RRP12,1,direct
MRPL38,PSMB2,-1,reversed-1
COQ5,DYNC1H1,0,no_path
DYNC1H1,PAF1,-2,reversed-2
NUP54,INCENP,1,direct
CPSF4,CTU2,-1,reversed-1
LSM10,MRPS28,1,direct
POLA2,SNAPC5,0,no_path
SCFD1,RPL39,-1,reversed-1
RPL35,USP7,2,hop-2
CEP85,NEPRO,-2,reversed-2
PSMC4,HDAC3,1,direct
DDX19A,MRGBP,-2,reversed-2
SLC1A5,CCNL1,0,no_path
TRMT6,STAT5A,-1,reversed-1
RPUSD4,NELFE,-2,reversed-2
MEPCE,MYCBP,-1,reversed-1
GTF2H3,NELFE,1,direct
BOP1,FBL,-1,reversed-1
HTATSF1,GPS1,2,hop-2
EIF3B,EXOSC1,2,hop-2
RPS3,IARS2,-1,reversed-1
PAF1,XAB2,2,hop-2
ROMO1,NFRKB,2,hop-2
KIN,STAT5A,-1,reversed-1
PPP1R7,XAB2,2,hop-2
BOP1,VPS72,2,hop-2
MCM10,HDAC3,2,hop-2
SART1,DPM2,-1,reversed-1
POLR3E,YBX1,-1,reversed-1
NDUFA2,DDX24,1,direct
RPP38,CHMP1A,1,direct
CCT6A,NUP214,-1,reversed-1
PTCD3,KIN,2,hop-2
ARMC6,NFRKB,1,direct
SMC6,PSMA1,2,hop-2
RSL1D1,KIN,1,direct
C7orf26,ZMAT5,2,hop-2
SNAPC5,DDX41,-1,reversed-1
RPUSD3,RAB4A,2,hop-2
SLU7,ANAPC11,-2,reversed-2
DDX24,PDCD6IP,-1,reversed-1
GPS1,DDX41,-1,reversed-1
MRPL38,RAD9A,3,hop-3
COQ5,ZNF317,0,no_path
COG2,PAF1,-1,reversed-1
LSM10,SDHA,1,direct
EIF4G1,NEPRO,1,direct
SEC61G,PSMB2,1,direct
ZNRD1,PSMA5,-1,reversed-1
MRPL4,USP5,1,direct
HNRNPR,DDX19A,1,direct
PSMB1,NOL11,1,direct
NEPRO,VPS13D,0,no_path
PSMG1,GMPPB,1,direct
RBBP5,METAP1,0,no_path
MTOR,ZC3H8,0,no_path
NAT10,MRPS22,1,direct
SUPT5H,SKA3,0,no_path
SURF6,VPS72,1,direct
HNRNPR,INCENP,1,direct
EIF4G1,SNRPG,1,direct
WDR4,GTF2H3,-1,reversed-1
PSMB1,MTOR,1,direct
MED1,IARS2,-1,reversed-1
MRPS28,MARS,3,hop-3
RPS3,SMC6,-1,reversed-1
RPUSD3,XPO5,1,direct
DDX24,HMGCS1,2,hop-2
WDR18,MCM7,-1,reversed-1
SART1,COG2,0,no_path
PSME1,WBP1L,0,no_path
MED1,KIN,2,hop-2
CASP8AP2,KDM2A,-1,reversed-1
EIF2S3,SLC1A5,1,direct
WAC,MED4,1,direct
NUTF2,RPUSD4,1,direct
IFITM2,HSPE1,-1,reversed-1
TRA2B,MRPL9,1,direct
MED17,ZC3H8,0,no_path
RPS3,PSMA1,1,direct
HTATSF1,METAP2,1,direct
RPL18A,TRAIP,1,direct
EIF3B,CBX1,1,direct
TRIAP1,RBX1,-1,reversed-1
HSPD1,MOCS3,1,direct
NUP214,DDX41,1,direct
GTF2H3,ZMAT5,2,hop-2
NELFE,ZMAT5,1,direct
ASF1B,NUP54,-2,reversed-2
PSMG1,TRA2B,-1,reversed-1
ASF1B,PPP1CB,1,direct
NUP54,MRGBP,-1,reversed-1
ABT1,MRPS28,1,direct
RPS3,NAT10,-1,reversed-1
PSMC3,NUTF2,1,direct
SEC61G,RAD9A,1,direct
PREB,PSMA1,-2,reversed-2
WDR18,WDR4,1,direct
MRPL38,ZNF830,1,direct
XRCC5,RPL35A,-2,reversed-2
PTCD3,SRSF6,1,direct
YBX1,EIF4G1,-1,reversed-1
EXOSC1,TMA16,-2,reversed-2
PSME1,EIF2S3,-1,reversed-1
TBCC,UNC45A,0,no_path
MRPL4,TMX2,-1,reversed-1
USP7,POLR1C,0,no_path
NELFA,NFS1,0,no_path
PPP1R7,DYNC1H1,2,hop-2
PALB2,TRA2B,-1,reversed-1
RPL39,RBBP5,1,direct
PTMA,EIF2S3,-1,reversed-1
SRSF6,IARS2,-1,reversed-1
RBX1,WDR4,1,direct
ARF4,NOL12,1,direct
DDX19A,NUP54,0,no_path
IFITM2,BOP1,-3,reversed-3
NUTF2,MCM7,1,direct
MRPS22,WAC,-1,reversed-1
RPAP1,RPL35A,-2,reversed-2
MED1,PSMA1,-1,reversed-1
DHODH,HTATSF1,-2,reversed-2
NUTF2,WDR18,1,direct
ANAPC11,EIF3B,1,direct
RRP12,CHMP1A,0,no_path
PALB2,PSMG1,-2,reversed-2
RNASEH2C,CCNL1,2,hop-2
SLC1A5,RNF8,-2,reversed-2
RPUSD4,RNPS1,-1,reversed-1
NUTF2,MYCBP,1,direct
NDUFA2,ARMC6,1,direct
MED1,NAT10,-2,reversed-2
PSMG1,MRPL9,1,direct
MRPS11,NOL12,1,direct
POLR3E,TRAIP,0,no_path
POLR3E,RPL35,-1,reversed-1
DPH3,TRAIP,0,no_path
C7orf26,GTF2H3,1,direct
PSMB2,FIP1L1,1,direct
MEPCE,SENP6,-1,reversed-1
ZC3H8,ZNF830,1,direct
IFITM2,SURF6,-2,reversed-2
TAF2,RPAIN,-2,reversed-2
NELFA,MED1,-1,reversed-1
ANAPC11,EXOSC1,1,direct
SART1,DYNC1H1,0,no_path
GAK,UNC45A,0,no_path
NUTF2,WDR4,1,direct
MRPS31,CTU2,1,direct
MRPS31,PDCD6IP,1,direct
CPSF6,INCENP,0,no_path
PAF1,ZNF317,2,hop-2
NDUFA2,MRPL24,1,direct
SRSF6,MRPS22,-2,reversed-2
PSMA1,IARS2,-1,reversed-1
EIF2S3,PSMG1,-1,reversed-1
MRPS11,NFRKB,2,hop-2
SLU7,CDC20,-1,reversed-1
NUP214,FBL,1,direct
PPP1R7,ZNF317,2,hop-2
PSMA1,KIN,2,hop-2
DYNC1H1,BRCA1,-1,reversed-1
MRPL24,ARMC6,0,no_path
HSPE1,RPE,-1,reversed-1
SRSF6,SMC6,-1,reversed-1
CCDC174,PSMA5,-1,reversed-1
RPUSD3,GMPPB,1,direct
RPS3,PTCD3,-1,reversed-1
CDC20,RBBP5,1,direct
CDC20,ILF3,-1,reversed-1
FIP1L1,ZC3H8,1,direct
TRMT6,WAC,-1,reversed-1
USP7,RPAP1,2,hop-2
POLR2E,SDHA,1,direct
BRCA1,ZNF317,2,hop-2
WDR18,MEPCE,1,direct
MRTO4,ZNF830,2,hop-2
XRCC5,CIAO1,1,direct
TRIAP1,RPUSD4,1,direct
ROMO1,MRPS11,-1,reversed-1
ANAPC11,PSMC4,-1,reversed-1
CYC1,BOP1,1,direct
RPE,GPS1,2,hop-2
MRPL38,MRTO4,1,direct
ELAC2,SCFD1,1,direct
EIF2S3,MRPL9,1,direct
PSME1,RPAIN,-1,reversed-1
RPL7A,MARS,1,direct
RNPS1,MYCBP,1,direct
RBX1,MEPCE,1,direct
LSM5,NOL12,1,direct
NOL12,NFRKB,1,direct
LSM5,BRIX1,-1,reversed-1
ASF1B,MARS,-1,reversed-1
ZNRD1,POLR2E,-1,reversed-1
PPP1R7,RRP12,3,hop-3
RAB4A,XPO5,-1,reversed-1
MED17,MMS22L,-2,reversed-2
RPS3,RSL1D1,-1,reversed-1
SART1,ZNF317,0,no_path
POLR2B,MMS22L,2,hop-2
RPS3,TRMT6,1,direct
RPAP1,CIAO1,-1,reversed-1
PTMA,RPAIN,1,direct
TRMT6,NFS1,0,no_path
XRCC5,RPAP1,1,direct
PAF1,GAK,2,hop-2
RSL24D1,NUTF2,1,direct
GUK1,ZNRD1,1,direct
MRPL9,RNF8,-1,reversed-1
HSPD1,DPM2,-1,reversed-1
XAB2,BRCA1,-1,reversed-1
PTCD3,RSL1D1,1,direct
RBBP5,HDAC3,0,no_path
TRA2B,RNF8,1,direct
URM1,MTOR,2,hop-2
ANAPC11,CBX1,1,direct
HSPE1,FBL,-1,reversed-1
WDR18,SENP6,1,direct
MRPS28,POLR2E,-1,reversed-1
TRIAP1,MCM7,1,direct
RPL7A,ZNRD1,1,direct
PSMC4,RBBP5,1,direct
HMGCS1,ARMC6,-2,reversed-2
RPL18A,POLR3E,1,direct
XRCC5,RPL35,-1,reversed-1
DDX19A,MARS,2,hop-2
FIP1L1,XRCC2,1,direct
RNF8,RAB4A,2,hop-2
SRP14,SLC1A5,1,direct
NAT10,MED4,2,hop-2
FBL,GPS1,1,direct
C7orf26,MCM7,2,hop-2
USP8,EXOSC1,-3,reversed-3
DHODH,CLASRP,0,no_path
SEC61G,MRTO4,1,direct
SLU7,SKA3,0,no_path
URM1,MED17,2,hop-2
NELFA,SRSF6,1,direct
RSL1D1,KDM2A,1,direct
HMGCS1,MRPL24,0,no_path
MED1,RSL1D1,-1,reversed-1
MCM10,ILF3,-1,reversed-1
USP8,MCM10,-2,reversed-2
RPS3,STAT5A,1,direct
RPL35,YBX1,1,direct
SART1,GAK,1,direct
EIF3B,METAP1,1,direct
IFITM2,DHODH,0,no_path
CYC1,METAP2,1,direct
XAB2,CHMP1A,0,no_path
ZNF317,GTF2F2,-2,reversed-2
CDC20,SKA3,1,direct
METAP2,SNAPC5,2,hop-2
RRP12,MOCS3,0,no_path
SRP14,GMPPB,2,hop-2
YBX1,RPL35A,-1,reversed-1
RNASEH2C,RNF8,-2,reversed-2
SLC1A5,RAB4A,0,no_path
RPAP1,NEPRO,-1,reversed-1
C7orf26,WDR4,2,hop-2
CPSF4,NOL12,-1,reversed-1
PSMC3,ZMAT5,1,direct
EIF2S3,WBP1L,1,direct
PSMB2,MED21,1,direct
CPSF4,BRIX1,-1,reversed-1
POLR2B,CENPH,-1,reversed-1
POLR2B,PSMB2,-1,reversed-1
CASP8AP2,IARS2,-2,reversed-2
MRPL21,MRGBP,-1,reversed-1
NUTF2,SENP6,1,direct
CASP8AP2,KIN,-2,reversed-2
MRPL38,XRCC2,2,hop-2
CEP85,VPS13D,0,no_path
MRPL4,PDCD6IP,-1,reversed-1
MRPL21,LSM10,-1,reversed-1
CCT6A,DDX41,1,direct
PALB2,EIF2S3,-1,reversed-1
NOL11,MED17,1,direct
RPL35,SNRPG,1,direct
CPSF4,NFRKB,-2,reversed-2
MRPS11,CTU2,2,hop-2
SLC1A5,XPO5,-1,reversed-1
FIP1L1,SARS2,1,direct
ATP6V0C,CCNL1,1,direct
USP8,CBX1,-1,reversed-1
XRCC5,RPL18A,-1,reversed-1
SRP14,TRA2B,-1,reversed-1
SRSF6,RSL1D1,-1,reversed-1
PALB2,RPUSD3,-1,reversed-1
VPS72,SNAPC5,-1,reversed-1
NEPRO,GATA1,2,hop-2
TMX2,CTU2,1,direct
HTATSF1,SNAPC5,3,hop-3
CCT6A,RPE,1,direct
RSL24D1,NELFE,1,direct
COG4,NELFE,-1,reversed-1
RPL35,VPS13D,2,hop-2
MED21,MRTO4,-2,reversed-2
XRCC2,ZC3H8,1,direct
PSMC4,SKA3,1,direct
CCDC174,POLR2E,-2,reversed-2
EIF3B,TMA16,-1,reversed-1
XRCC2,CHMP5,-1,reversed-1
VPS72,CLASRP,0,no_path
COG2,GAK,2,hop-2
ZNRD1,MRPS28,1,direct
PSMC3,RNPS1,-1,reversed-1
SRP14,PSMG1,1,direct
HTATSF1,CLASRP,2,hop-2
RPL7A,ABT1,1,direct
USP7,EIF4G1,-1,reversed-1
CBX1,EXOSC1,-2,reversed-2
IFITM2,HTATSF1,-2,reversed-2
CASP8AP2,PSMA1,-2,reversed-2
RPS3,PREB,1,direct
YBX1,CIAO1,1,direct
DYNC1H1,MOCS3,0,no_path
FIP1L1,NOL11,-1,reversed-1
GUK1,POLR2E,-1,reversed-1
HSPD1,DYNC1H1,1,direct
MRPL9,RAB4A,1,direct
PSMG1,RPAIN,1,direct
TRA2B,RAB4A,1,direct
WDR18,RBX1,-1,reversed-1
CASP8AP2,NAT10,-2,reversed-2
KIF4A,TRAIP,1,direct
SLU7,HDAC3,1,direct
RPL7A,POLR2E,1,direct
MRPL38,SARS2,1,direct
RPL7A,DDX19A,1,direct
PPP1CB,MRGBP,-2,reversed-2
NELFA,TRMT6,2,hop-2
CCT6A,FBL,1,direct
PSMB2,RAD9A,1,direct
IFITM2,CYC1,-1,reversed-1
RPL18A,CEP85,1,direct
MRPL24,USP5,0,no_path
DDX19A,ABT1,-1,reversed-1
HSPE1,NUP214,-1,reversed-1
MRPS22,MED4,1,direct
USP8,SCFD1,-2,reversed-2
CIAO1,POLR1C,-1,reversed-1
CPSF6,NUP54,-1,reversed-1
ZNRD1,SDHA,-1,reversed-1
TAF2,MRPL9,-1,reversed-1
SART1,UNC45A,0,no_path
XRCC5,EIF4G1,-1,reversed-1
SCFD1,PSMC4,-1,reversed-1
EIF4G1,TRAIP,2,hop-2
MEPCE,SBDS,-1,reversed-1
CCT6A,VPS72,1,direct
MRPL9,XPO5,1,direct
PALB2,RPAIN,-2,reversed-2
WDR4,ZMAT5,2,hop-2
RSL24D1,TRIAP1,1,direct
MED17,ZNF830,0,no_path
